Player,Offense,Defense,GP,Name,Squad,Viable
"Clefspeare95",,,183903,JMK,"zzzzzzJMK zAhsoka Tano (Snips), zzzCAT zzzzGAS zGK",1
"Clefspeare95",,,186165,LV,"zzzzzzLord Vader, zzPiett zzzMaul zRG zzzVader",1
"Clefspeare95",,,146314,Admiral Raddus,"zzAdmiral Raddus, zCassian zzJyn zK-2SO Chirrut",1
"Clefspeare95",,,153003,SK,"zzEP zzMara Jade, The Emperor's Hand, zzStarkiller zJuhani zVisas",1
"Clefspeare95",,,466318,Profundity,"Profundity Han's MF, Outrider Rebel Y-wing, Cassian's U-wing, Ghost",1
"Clefspeare95",0,1,126375,Qira,"zQira L3-37 zVandor Chewbacca, zMission zZaalbar",1
"Clefspeare95",1,1,171210,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Clefspeare95",,,187019,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"Clefspeare95",1,1,174481,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 zRH Poe, zRH Finn",1
"Clefspeare95",,,166749,Jabba,"zzzzzzJabba zBoushh (Leia Organa), zSkiff Guard (Lando Calrissian), zKrrsantan zBoba",1
"Clefspeare95",1,1,113274,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Clefspeare95",,,601401,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Tie Adv, TIE Reaper",1
"Clefspeare95",,,176390,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zJolee",1
"Clefspeare95",1,0,166069,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Clefspeare95",,,133718,Grievous Omicron,"zzGG zB2 zB1 zMagnaGuard zDroideka",1
"Clefspeare95",,,558061,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Clefspeare95",,,325281,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Clefspeare95",1,0,120433,Traya,"zzTraya zDN zSion Sith Assassin, Sith Empire Trooper",1
"Clefspeare95",,,111990,Mon Mothma,"zzMon Mothma, zPao zCara Dune, Scarif Hoth Rebel Scout",1
"Clefspeare95",1,1,105081,Ewoks,"zChirpa Elder zPaploo zWicket Logray",1
"Clefspeare95",1,0,156261,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Clefspeare95",0,1,151153,BH,"zzBossk zZam zzJango zDengar zFennec Shand",1
"Clefspeare95",1,0,140596,Troopers,"zVeers zStarck zIden Versio, zzScout Trooper, zDark Trooper",1
"Clefspeare95",0,1,128976,Phoenix,"zHera zEzra zKanan Zeb zzCaptain Rex",1
"Clefspeare95",,,137687,Bad Batch,"zHunter zEcho zzOmega zTech zWrecker",1
"Clefspeare95",,,119195,Mando,"zzThe Mandalorian (Beskar Armor), zDash Rendar, zNest zIG-11 Kuiil",1
"Clefspeare95",1,0,89788,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
"Clefspeare95",,,120869,Phasma,"Phasma FOTP FOSFTP FOST zKylo",0
"Clefspeare95",0,1,104447,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Nzlonewolfnz",,,184083,JMK,"zzzzzzJMK zAhsoka Tano (Snips), zzzCAT zzzzGAS zGK",1
"Nzlonewolfnz",,,182395,LV,"zzzzzzLord Vader, zzPiett zzzMaul zRG zzzVader",1
"Nzlonewolfnz",,,126743,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Nzlonewolfnz",,,145060,Admiral Raddus,"zzAdmiral Raddus, zCassian zJyn zK-2SO Chirrut",1
"Nzlonewolfnz",,,147317,SK,"zzEP zzMara Jade, The Emperor's Hand, zzStarkiller zJuhani zVisas",1
"Nzlonewolfnz",,,441286,Profundity,"Profundity 5* Han's MF, Outrider Rebel Y-wing, Cassian's U-wing, Ghost",1
"Nzlonewolfnz",1,1,168512,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"Nzlonewolfnz",,,188646,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"Nzlonewolfnz",0,1,106922,Qira,"zQira L3-37 zVandor Chewbacca, zMission zZaalbar",1
"Nzlonewolfnz",,,579712,Executor,"Executor 6* HT RC Xanadu Blood, Slave I, IG-2000 Tie Adv, TIE Reaper",1
"Nzlonewolfnz",,,168089,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zJolee",1
"Nzlonewolfnz",1,0,154986,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Nzlonewolfnz",1,1,113561,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"Nzlonewolfnz",,,527153,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Nzlonewolfnz",,,338815,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Nzlonewolfnz",1,1,121965,JTR,"zzzJTR zzR2-D2 zzBB-8 RH Finn G9, RH Poe G9",1
"Nzlonewolfnz",0,1,138525,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Nzlonewolfnz",1,0,124616,Traya,"zzTraya zDN zSion Sith Assassin, Sith Empire Trooper",1
"Nzlonewolfnz",,,117255,Mon Mothma,"zzMon Mothma, zPao zCara Dune, Scarif Hoth Rebel Scout",1
"Nzlonewolfnz",,,123827,Disintegration,"Aurra zzGreef zBoba zzBossk zThe Mandalorian",1
"Nzlonewolfnz",1,1,125412,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Nzlonewolfnz",1,0,152359,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Nzlonewolfnz",0,1,144621,BH,"zzJango zZam zIG-88 zDengar zBoushh (Leia Organa)",1
"Nzlonewolfnz",1,0,132301,Troopers,"zVeers zStarck zzGideon zIden Versio, zzScout Trooper",1
"Nzlonewolfnz",0,1,131956,Phoenix,"zHera zEzra zKanan zSabine zzCaptain Rex",1
"Nzlonewolfnz",1,0,86626,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
"Nzlonewolfnz",0,1,115799,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Nzlonewolfnz",,,121604,Bad Batch,"zHunter zEcho zzOmega G9, zTech zWrecker",0
"Orphion",,,178969,JMK,"zzzzzzJMK zAhsoka Tano (Snips), zzzCAT zzzzGAS zGK",1
"Orphion",,,182102,LV,"zzzzzzLord Vader, zzPiett zzzMaul zRG zzzVader",1
"Orphion",,,143040,Admiral Raddus,"zzAdmiral Raddus, zCassian zJyn zK-2SO Chirrut",1
"Orphion",,,462721,Profundity,"Profundity Han's MF, Outrider Rebel Y-wing, Cassian's U-wing, Ghost",1
"Orphion",0,1,137794,Qira,"zQira L3-37 zVandor Chewbacca, zMission zZaalbar",1
"Orphion",1,1,165942,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"Orphion",,,186056,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"Orphion",,,184245,Jabba,"zzzzzzJabba zBoushh (Leia Organa), zSkiff Guard (Lando Calrissian), Krrsantan zBoba",1
