Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"ᴀᴇ Squalo",728164266,-8,10862595,6465455,4397140,147,44,456,578,3637383,2819675,269,34,1078,6,316,147,198,215,227,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,26,8,8
"MINI Val",162125591,8,9449590,5649848,3799742,148,-18,976,609,3093613,2556235,210,18,1034,8,268,149,175,194,201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,8,10
"Xyke00",741758278,-5,10638493,6246379,4392114,142,63,209,559,3536224,2690432,240,25,959,4,316,135,184,219,227,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,27,7,10
"Chook",239641626,-8,10644195,6334122,4310073,146,20,425,573,3527572,2801894,249,26,970,6,316,125,199,217,223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,28,9,11
"JediJoe",768834983,-6,11480286,6974632,4505654,154,-36,486,606,3771334,3173216,271,40,1231,8,329,175,215,235,250,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,8,11
"Chow Derhead",414558845,-8,11703998,7114265,4589733,155,-16,448,632,3882812,3201228,283,38,1269,8,326,177,231,256,259,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,7,9
"Clefspeare95",618774729,-7,11850231,7204339,4645892,155,48,574,613,4048547,3125509,289,41,1285,8,329,192,219,251,267,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,7,9
"Ker9",286231675,6,11238896,6834363,4404533,155,-55,537,593,3663285,3140622,279,40,1117,8,327,153,200,244,246,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,8,11
"Gronkeykong",265871635,-5,9929567,5987593,3941974,151,-19,347,493,3267367,2700735,243,34,798,7,301,114,147,183,207,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,25,10,12
"DaGovern0r",396467373,-4,12445061,7584379,4860682,156,-4,297,656,4161683,3390343,257,25,1576,8,328,222,241,261,268,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,8,9
