Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
ᴀᴇ Squalo,728164266,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
ᴀᴇ Squalo,728164266,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
ᴀᴇ Squalo,728164266,0,0,0,JMK: JMK CAT GK GAS Ahsoka
ᴀᴇ Squalo,728164266,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
ᴀᴇ Squalo,728164266,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
ᴀᴇ Squalo,728164266,6,1,5,Troopers: Veers R4 Piett Dark Trooper R3 Range Trooper R3 Gideon
NYCAFL,111449121,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
NYCAFL,111449121,0,0,0,JMK: JMK CAT GK GAS Ahsoka
NYCAFL,111449121,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
NYCAFL,111449121,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
NYCAFL,111449121,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
NYCAFL,111449121,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
NYCAFL,111449121,4,0,4,Troopers: Veers R3 Piett Dark Trooper Range Trooper R3 Gideon
Chook,239641626,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Chook,239641626,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Chook,239641626,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Chook,239641626,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Chook,239641626,10,6,4,Troopers: Veers Piett Dark Trooper Range Trooper R1 Gideon
Chook,239641626,24,8,16,Padme/BB: Padme Hunter R1 Echo R1 Tech R1 Wrecker R1
itsmedontusee,561441962,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
itsmedontusee,561441962,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
itsmedontusee,561441962,0,0,0,JMK: JMK CAT GK GAS Ahsoka
itsmedontusee,561441962,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
itsmedontusee,561441962,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
itsmedontusee,561441962,6,2,4,Troopers: Veers R3 Piett Dark Trooper Range Trooper R3 Gideon
Gronkeykong,265871635,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Gronkeykong,265871635,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
Gronkeykong,265871635,6,0,6,JMK: JMK CAT GK GAS Ahsoka G12
Gronkeykong,265871635,2,0,2,JMLS: JMLS JKL JKR R3 GMY HYoda
Gronkeykong,265871635,17,4,13,Troopers: Veers Piett Dark Trooper G11 Range Trooper G12 Starck
Gronkeykong,265871635,8,0,8,SEE: SEE Malak Darth Malgus G12 BSF R3 DR
Gronkeykong,265871635,46,26,20,Padme/BB: Padme Hunter R4 Echo G12 Tech G11 Wrecker G12
Von Hammerfell,277576924,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Von Hammerfell,277576924,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Von Hammerfell,277576924,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Von Hammerfell,277576924,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Von Hammerfell,277576924,0,0,0,Troopers: Veers Piett Dark Trooper Range Trooper Gideon
Von Hammerfell,277576924,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
Von Hammerfell,277576924,26,19,7,Padme/BB: Padme Hunter Echo G13 Tech R4 Wrecker R4
Arvoren,798699297,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Arvoren,798699297,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Arvoren,798699297,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Arvoren,798699297,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Arvoren,798699297,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
Arvoren,798699297,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Arvoren,798699297,9,0,9,Troopers: Veers Piett Dark Trooper Range Trooper G9 Starck
Muffcrusher88,768525826,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Muffcrusher88,768525826,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Muffcrusher88,768525826,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Muffcrusher88,768525826,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Muffcrusher88,768525826,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
Muffcrusher88,768525826,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Muffcrusher88,768525826,17,6,11,Troopers: Veers R4 Piett Dark Trooper R3 Range Trooper G12 Gideon R3
