Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Upgreyd",564121831,-1,10129302,6169760,3959542,155,39,443,542,3442191,2697269,216,33,911,5,312,135,167,200,221,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,28,9,11
"Krupten",427459795,-6,8709696,5071309,3638387,139,-259,289,521,2467747,2603562,213,21,770,5,269,114,140,160,179,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,23,8,10
"Drcct",539764381,-7,9018242,5244878,3773364,138,84,160,457,2996739,2243879,228,11,597,3,272,91,118,175,188,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,25,10,12
"bellojack",664471259,-5,8151631,5163249,2988382,172,43,95,495,2898590,2261122,213,6,654,7,265,90,122,151,171,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,22,6,9
"This Is The Way",582538533,-10,9397368,5701547,3695821,154,-17,422,545,3114452,2583498,232,25,906,6,280,140,156,175,182,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,24,6,8
"Esaascar",478314836,-10,9809542,5838887,3970655,147,7,275,523,3216441,2601547,235,25,762,5,293,104,161,200,213,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,27,10,11
"Sutti",363928881,-5,10426991,6289952,4137039,152,-116,224,539,3267961,2993169,242,27,956,8,307,143,170,201,220,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,9,12
"LordJarJar",268221268,0,9342724,5505959,3836765,143,-116,233,525,2872763,2630546,182,23,792,5,283,113,144,189,210,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,22,7,10
"Jameg",357873854,-6,9618540,5513597,4104943,134,61,261,476,3115780,2387013,203,26,767,5,292,111,139,166,177,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,22,6,8
"Juan Quenovi",476671372,1,9654089,5663997,3990092,141,-2,509,544,3116195,2547115,221,28,844,5,290,128,161,196,207,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,26,8,11
"Btr Nut",236412553,-5,9693841,5892350,3801491,155,93,139,512,3367205,2498552,241,29,635,4,291,79,139,231,244,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,25,9,11
"Tzoid",764254651,-4,8904093,5338664,3565429,149,-167,98,480,2717712,2617789,230,20,660,6,278,95,133,163,188,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,24,8,9
"TorenCalduris",486623434,-4,9849639,6042303,3807336,158,-5,480,530,3310020,2712176,239,27,804,5,303,112,147,215,221,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,30,8,10
"MINI MetalPrawn",619735683,-5,7930058,4520025,3410033,132,-52,235,515,2430887,2088462,139,12,614,4,253,77,135,151,162,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,22,8,9
"KingZach",695634865,-4,9855077,5913313,3941764,150,112,278,553,3421848,2490778,234,19,867,7,298,123,167,205,213,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,28,10,11
"Jollyrogercjf",497215141,-5,8675831,5180576,3495255,148,-2,226,470,2833625,2316438,174,21,628,6,292,93,124,159,177,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,25,10,12
"Jackie Daytona",495695596,-4,10035282,5894664,4140618,142,-57,267,519,3162725,2729422,252,27,893,8,315,122,161,182,195,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,9,11
"DarthToren",623628757,-5,9047511,5386504,3661007,147,-127,496,484,2797355,2589149,215,22,698,4,292,97,129,170,186,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,26,9,11
"Lala",235129274,-5,9305567,5645029,3660538,154,-42,84,513,3047781,2593450,232,21,723,6,289,102,144,189,203,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,28,9,11
"BrianSkywalker",689764168,-6,9842938,5931909,3911029,151,150,269,497,3475690,2432971,245,21,673,4,300,100,114,241,246,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,30,9,11
"TwistyNuB",497555437,-6,11295708,6803227,4492481,151,-26,212,567,3693727,3092849,269,49,1159,7,323,165,190,219,248,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,30,9,12
"Surfswithaliens",336411921,-2,9400357,5595986,3804371,147,65,270,476,3168081,2417272,171,25,669,6,280,100,120,194,215,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,22,11,11
"Demaio",531828666,-8,8110648,5073346,3037302,167,84,155,494,2900720,2171950,225,18,647,6,255,91,126,146,164,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,20,8,10
"The High Ground",788859343,0,7468976,4430787,3038189,145,132,164,405,2582381,1840639,163,10,485,5,271,67,97,109,129,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,23,10,9
"DarthThanos",297469325,-4,8382547,5051056,3331491,151,68,195,550,2867701,2182341,176,25,731,6,274,102,146,169,181,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,21,8,10
"Beserk Badger",738665898,-4,8494597,5267982,3226615,163,40,124,471,2952067,2310988,207,19,646,5,269,95,118,153,171,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,21,7,9
"Vin",435563797,10,9495710,5693826,3801884,149,10,329,536,3135225,2529491,236,10,807,7,300,109,159,189,198,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,22,7,10
"Resmi Hardin",431353962,-5,8911083,5312720,3598363,147,32,165,461,2961351,2336207,199,20,441,1,292,38,113,210,217,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,25,14,11
"Tcheu",849334897,-6,9158495,5352220,3806275,140,202,265,550,3201627,2124406,208,22,832,5,278,124,161,177,188,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,22,11,11
"Fallon Gray",769349676,3,6024543,3624718,2399825,151,-33,169,458,1962233,1654943,102,17,411,2,217,55,89,105,117,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,18,8,6
"Recon Patrol",221828491,-4,8304617,4807167,3497450,137,-96,117,415,2518206,2261382,182,21,575,4,253,79,109,121,140,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,18,5,9
