Player,Offense,Defense,GP,Name,Squad,Viable
"Kaervek",1,1,113213,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Kaervek",0,1,142986,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Kaervek",0,1,133816,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"Kaervek",1,0,126610,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 Old Ben",1
"Kaervek",,,483048,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",1
"Kaervek",0,1,96081,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Kaervek",0,1,114213,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"Kaervek",1,0,108221,Traya,"zzTraya DN zSion zNest zThrawn",1
"Kaervek",,,101013,Nute-OR,"zNute Dooku zzJango zZaalbar zMission",1
"Kaervek",1,1,143755,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Kaervek",1,1,116289,Revan Offense,"zzzJKR zGMY zBS zJolee zHYoda",1
"Kaervek",1,1,84014,Ewoks,"zChirpa Elder Paploo Wicket zLogray",1
"Kaervek",0,1,97383,BH,"zzBossk Greedo IG-88 Dengar zBoba",1
"Kaervek",1,1,104906,zEP,"zEP zzzVader zTarkin DT TFP",1
"Kaervek",0,1,87406,FO,"zzKRU Kylo FOTP FOO FOE",1
"Kaervek",0,1,75039,Phoenix,"Hera 8, zEzra Zeb 8, Kanan 8, Sabine 8",1
"Kaervek",1,0,98473,Troopers,"zVeers zStarck Snowtrooper Stormtrooper zzAdmiral Piett",1
"Kaervek",1,1,81177,Rogue1,"zJyn 8, Chirrut Baze Cassian 9, Bistan 8",1
"Kaervek",1,0,49198,Jawas,"Nebit 8, Jawa Engineer 6* 7, Jawa Scavenger 7, Jawa 6* 8, Dathcha 8",0
"Michael Wulf",1,1,150093,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"Michael Wulf",0,1,126471,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Michael Wulf",0,1,113138,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Michael Wulf",1,1,92324,NS_Alt,"zMT zzAV Zombie Talia Daka",1
"Michael Wulf",,,349674,HansMF,"Home One, Han's MF, Rebel Y-wing 6*, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Michael Wulf",,,418485,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",1
"Michael Wulf",0,1,95896,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Michael Wulf",0,1,116287,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Michael Wulf",1,1,96473,JTR,"zJTR Scav Rey, zBB-8 zzR2-D2 Finn",1
"Michael Wulf",1,0,120917,Traya,"zzTraya zDN zSion zDooku zzEP",1
"Michael Wulf",1,1,109025,Revan Offense,"zzzJKR zGMY zBS zJolee HYoda",1
"Michael Wulf",1,1,89961,Ewoks,"zChirpa Elder zPaploo zWicket zLogray 9",1
"Michael Wulf",0,1,95955,BH,"zBossk zJango Dengar 9, zBoba Cad",1
"Michael Wulf",1,0,93591,Troopers,"zVeers Starck zzMoff Gideon, zAdmiral Piett, Range Trooper 8",1
"Michael Wulf",1,0,100202,Wampa (Counter),"zRex zzWampa DT 8, Krennic 9, FOO",1
"Michael Wulf",1,0,98063,CLS,"zzCLS zHan Leia Old Ben 9, zzChewbacca",1
"Michael Wulf",0,1,74000,Phoenix,"Hera 8, Ezra Zeb 8, Kanan Chopper 9",1
"Michael Wulf",1,0,18436,NestSolo (Counter),"zNest",1
