Player,Offense,Defense,GP,Name,Squad,Viable
"Von Owens III",,,195648,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Von Owens III",,,196268,LV,"zzzzzzLord Vader, zzPiett zzzMaul zRG zNinth Sister",1
"Von Owens III",,,132468,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Von Owens III",,,152318,Admiral Raddus,"zzAdmiral Raddus, zCassian zzJyn zK-2SO Bistan",1
"Von Owens III",,,478818,Profundity,"Profundity Han's MF, Outrider Rebel Y-wing, Cassian's U-wing, Ghost",1
"Von Owens III",1,1,177854,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Von Owens III",,,193284,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"Von Owens III",,,179644,Jabba,"zzzzzzJabba zBoushh (Leia Organa), zSkiff Guard (Lando Calrissian), zKrrsantan zBoba",1
"Von Owens III",1,1,175276,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 zHoldo zRH Finn",1
"Von Owens III",0,1,105745,Qira,"zQira zL3-37 zVandor Chewbacca, zMission zZaalbar",1
"Von Owens III",,,146508,SK,"zzEP zzMara Jade, The Emperor's Hand, zzStarkiller zzOld Ben, zVisas",1
"Von Owens III",1,1,127044,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Von Owens III",,,646636,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Tie Adv, TIE Reaper",1
"Von Owens III",,,179859,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zJolee",1
"Von Owens III",1,0,165689,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Von Owens III",,,137874,Grievous Omicron,"zzGG zB2 zB1 zMagnaGuard zDroideka",1
"Von Owens III",,,573285,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Von Owens III",,,354978,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Von Owens III",1,0,149779,Traya,"zzTraya zzDN zSion Sith Assassin, Sith Empire Trooper",1
"Von Owens III",,,110699,Mon Mothma,"zzMon Mothma, zCara Dune, zPao Hoth Rebel Scout, Scarif",1
"Von Owens III",1,1,113338,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Von Owens III",1,0,157648,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Von Owens III",0,1,164538,BH,"zzBossk zzJango zzEmbo zDengar zzGreef",1
"Von Owens III",1,0,127686,Troopers,"zVeers zStarck zzScout Trooper, zIden Versio, Shoretrooper",1
"Von Owens III",0,1,134752,Phoenix,"zHera zEzra zKanan zZeb zCaptain Rex",1
"Von Owens III",,,130506,Bad Batch,"zHunter zEcho zzOmega zTech zWrecker",1
"Von Owens III",1,0,114466,Wiggs,"Wedge Biggs zLeia Chirrut Baze",1
"Von Owens III",,,122706,Mando,"zzThe Mandalorian (Beskar Armor), zDash Rendar, zNest zIG-11 zKuiil",1
"Von Owens III",1,0,105550,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
"Von Owens III",0,1,123169,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"JohnnyCasket",,,181826,LV,"zzzzzzLord Vader, zzPiett zzzVader zRG zNinth Sister",1
"JohnnyCasket",,,122670,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"JohnnyCasket",1,1,174407,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"JohnnyCasket",,,186577,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"JohnnyCasket",,,191512,Jabba,"zzzzzzJabba zBoushh (Leia Organa), zSkiff Guard (Lando Calrissian), zKrrsantan zBoba",1
"JohnnyCasket",1,1,179768,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 zRH Poe, zRH Finn",1
"JohnnyCasket",,,604478,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"JohnnyCasket",,,183838,JMLS,"zzzJKR zzJKL zzzzzzJMLS zzHYoda zzzzGAS",1
"JohnnyCasket",1,0,152660,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"JohnnyCasket",1,1,126564,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"JohnnyCasket",,,489336,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"JohnnyCasket",,,458818,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"JohnnyCasket",0,1,134874,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"JohnnyCasket",1,0,137073,Traya,"zzTraya zzDN zSion G9, zzEP Sith Empire Trooper",1
"JohnnyCasket",,,119327,Mon Mothma,"zzMon Mothma, zCara Dune, zCaptain Rex, Wedge Biggs",1
"JohnnyCasket",1,1,97640,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
