Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Chris396,961874866,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Chris396,961874866,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Chris396,961874866,0,0,0,JKL: JKL HYoda GMY JKR GK
Chris396,961874866,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Chris396,961874866,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
DarthCarogna HK,197198724,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
DarthCarogna HK,197198724,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
DarthCarogna HK,197198724,0,0,0,JKL: JKL HYoda GMY Jolee GK
DarthCarogna HK,197198724,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
DarthCarogna HK,197198724,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
Drtk,178662293,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Drtk,178662293,0,0,0,JKL: JKL HYoda GMY JKR GK
Drtk,178662293,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Drtk,178662293,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
Drtk,178662293,4,0,4,ROLO: ROLO Cpt Solo Leia Baze G12 Lando
Drtk,178662293,6,2,4,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives G12
Josabar,713459754,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
Josabar,713459754,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Josabar,713459754,0,0,0,JKL: JKL HYoda GMY JKR GK
Josabar,713459754,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Josabar,713459754,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
ElGuapo,545734924,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
ElGuapo,545734924,0,0,0,JKL: JKL HYoda GMY Jolee GK
ElGuapo,545734924,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
ElGuapo,545734924,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
ElGuapo,545734924,1,0,1,Finn: Finn RT RH Finn RH Poe R2-D2
ElGuapo,545734924,6,0,6,ROLO: ROLO Cpt Solo Leia Baze G10 Lando
DarthGrable,611292644,0,0,0,GAS Special: GAS Ahsoka Tano (Snips)
