Name,Ally Code,Account TZ per swgoh (player reset time zone),GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Leia Organa,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Puddin",656144574,-8,11647512,7043196,4604316,152,-33,454,622,3814356,3198626,289,44,1308,8,329,202,226,237,243,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,8,9
"money making mitch",279848565,-5,9224056,5659753,3564303,158,43,228,517,3178790,2465992,229,14,778,8,289,113,145,177,204,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,7,10
"BingoTheGringo",793972541,-7,10613857,6098172,4515685,135,21,340,554,3399143,2698342,258,27,964,6,305,135,182,214,217,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,27,7,9
"BigTLow",198244928,-3,9385685,5836323,3549362,164,-8,209,590,3202725,2619677,232,14,848,7,292,115,192,193,204,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,26,11,10
"Espo One",794385323,-6,10044807,6144059,3900748,157,84,295,586,3504674,2610209,259,25,821,7,291,111,197,228,228,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,30,9,10
"Fishetti",261211535,-4,10460426,6360077,4100349,155,-7,189,550,3485429,2846076,258,21,942,8,319,131,176,211,223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,7,11
"Jumbelina",496186941,11,10655265,6363784,4291481,148,-22,370,560,3461675,2869690,235,26,927,8,317,131,169,243,243,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,9,11
"thetitmaster",747132696,-11,7651080,4813156,2837924,169,103,20,486,2779089,2029807,173,6,571,3,242,86,112,146,169,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,20,10,10
"J84Raven",274336351,-5,9824640,5842988,3981652,146,25,186,499,3252222,2571362,243,12,788,7,308,112,148,185,201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,26,7,10
"Sol Riel",667729758,-4,8829071,5502195,3326876,165,-68,157,554,2944508,2557011,245,29,710,6,270,91,155,193,199,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,27,9,12
"PeePeeLaFritz",326683311,-4,10701847,6514020,4187827,155,88,310,555,3728841,2764980,288,48,995,8,303,140,178,217,231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,9,11
"Oozy",768273468,-3,10520480,6281415,4239065,148,-9,250,604,3448571,2822818,243,28,1053,7,295,136,208,217,227,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,30,8,11
"Sphy",893376834,-7,9697173,5945804,3751369,158,-38,82,531,3224721,2715763,259,21,848,7,293,114,162,184,192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,24,8,9
"NergalAbsu",418887294,-8,9585517,5665018,3920499,144,-141,204,491,2915136,2722869,250,17,720,5,290,98,145,182,205,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,29,9,13
"Jakav6",731665414,-5,8306729,4921824,3384905,145,-25,169,503,2686746,2234402,168,20,697,7,252,91,135,144,161,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,19,7,7
"Buzzkill",171123476,-5,11146631,6633218,4513413,146,-23,359,560,3608516,2996060,272,34,1025,8,323,153,183,237,243,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,9,11
"DarkHamburger",196298817,-4,9210689,5555758,3654931,152,2,93,569,3067430,2481635,157,22,906,6,254,134,161,182,200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,24,9,11
"Galatea Phebos",932767188,-6,10535228,6190223,4345005,142,25,683,538,3444873,2722024,235,17,893,7,308,125,165,224,235,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,28,9,11
"Riika Redfox",867487842,-5,11543049,6971479,4571570,152,-5,574,604,3823905,3118932,290,34,1207,8,324,185,211,245,248,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,7,11
"Darco Ren",277118468,-3,9432489,5299016,4133473,128,-31,366,545,2885461,2413555,157,28,820,5,285,110,165,186,193,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,23,7,10
"Mos Eisley Marauder",848989831,-6,9090960,5144186,3946774,130,-68,254,544,2753770,2390416,179,20,791,4,281,121,158,179,193,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,26,9,10
"Pattyoneel",338159234,-5,9184415,5435867,3748548,145,205,242,457,3270089,2152043,217,18,624,5,286,81,132,163,191,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,22,8,9
"Vaexqua Grupen",736141127,-6,8224919,4837092,3387827,142,-88,206,540,2551955,2260407,204,18,628,4,262,79,147,172,179,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,26,11,8
"constante",364761588,-10,10592294,6179027,4413267,140,20,310,524,3442685,2733692,272,20,886,7,313,125,176,202,223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,26,10,13
"TalonZek",864636643,-4,9738691,5710390,4028301,141,79,336,471,3256546,2436591,236,23,620,4,308,77,147,188,203,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,24,8,10
"Wolfwink",638528697,-7,9837283,5881775,3955508,148,17,221,541,3272662,2608437,257,30,816,8,306,120,177,192,205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,10,12
"KyloFinch",939517722,-6,8792698,5404049,3388649,159,128,141,425,3144396,2239645,208,11,541,4,295,73,118,148,193,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,21,10,10
"MightyAnchor",281619283,-2,9303338,5592108,3711230,150,77,500,567,3194899,2396533,222,26,849,7,283,110,163,195,203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,26,6,11
"Masta K",211691162,-5,10551408,6231045,4320363,144,-114,281,497,3253903,2957156,267,20,855,5,316,130,145,209,218,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,32,12,11
"BigSwede19",468774639,-8,10832784,6444523,4388261,146,-80,418,555,3413026,2999226,277,30,1023,8,325,143,186,211,220,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,7,12
"HM75",779678751,-6,8864442,5296223,3568219,148,83,295,477,3028214,2257983,210,15,600,3,274,77,132,171,187,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,24,9,10
"IG 88",959674685,-6,6634887,3726336,2908551,128,5,83,513,2053920,1656104,92,10,469,1,253,63,115,132,139,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,15,11,9
"DarkPickle",746347689,-5,4529849,2535936,1993913,127,-351,52,425,1180219,1355717,55,5,294,1,134,37,60,74,92,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,13,8,5
"ShadowNiel",611321767,2,6842244,4025830,2816414,142,-132,58,337,2088964,1932269,141,15,323,3,239,39,70,96,116,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,14,7,6
"Blindsurgeon",518773864,-5,8991332,5529512,3461820,159,-22,198,522,3015257,2501150,194,13,821,7,277,113,148,158,182,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,25,9,10
"Lurk skywalter",493145999,-4,8605353,5186826,3418527,151,-15,102,349,2836551,2335784,209,19,433,3,277,59,76,138,170,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,23,13,13
"j who",597367851,-5,9001340,5455993,3545347,153,100,161,521,3143347,2302424,195,17,706,4,262,91,141,187,199,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,22,10,9
"HIT",186774711,-6,9481329,5716472,3764857,151,10,283,522,3163115,2538123,211,26,728,6,286,92,160,190,205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,23,8,9
"Frateo",657179331,4,9351518,5426627,3924891,138,187,401,534,3248542,2177409,193,28,773,5,283,111,149,196,202,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,25,10,11
"Beka12",629165259,2,8199660,4508357,3691303,122,74,50,303,2567660,1931936,186,10,370,0,241,50,51,124,145,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,19,9,9
"Jairasha Arezno",493668729,-5,7899977,4751255,3148722,150,101,56,457,2737516,2004648,125,12,532,1,248,78,114,141,159,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,20,10,10
"decimer",311687341,-5,8881365,5427465,3453900,157,184,108,432,3231698,2172519,224,12,486,1,279,75,78,209,221,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,25,13,11
"Pepa Pig",271322622,6,10560569,6178051,4382518,140,-44,290,533,3336886,2829351,243,29,958,7,299,132,175,197,205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,25,8,8
"Romano Fafard",624477215,0,10279718,6184968,4094750,151,-12,350,544,3377559,2772963,257,34,790,5,303,98,162,240,243,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,30,7,11
"RenegadeSith",447995451,-4,8487457,4805381,3682076,130,-6,177,478,2644167,2158564,158,15,676,7,280,97,126,145,158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,20,7,7
