Player,Ally Code,Current Gear Needed,Team
BigSwede19,468774639,5,L5 Jabba: Jabba Boushh (Leia Organa) R6 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
BigSwede19,468774639,9,L5 Maul: Maul R6 The Mandalorian (Beskar Armor) R5 Bo-Katan R5 Canderous R5 Armorer R5
BigSwede19,468774639,1,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar
BigSwede19,468774639,6,L1 Tuskens: Tusken Chieftain G9 Tusken Raider Tusken Shaman Tusken Warrior G9 URoRRuR'R'R
BigSwede19,468774639,14,L1 Jawas: Nebit G8 Jawa Engineer G9 Jawa Scavenger G8 Dathcha G9 Jawa
money making mitch,279848565,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
money making mitch,279848565,4,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous G12 Armorer G12
money making mitch,279848565,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
money making mitch,279848565,7,L1 Jawas: Nebit G10 Jawa Engineer G10 Jawa Scavenger G10 Dathcha G11 Jawa
money making mitch,279848565,8,L0 Tuskens: Tusken Chieftain G5 3* Tusken Raider Tusken Shaman Tusken Warrior G3 3* URoRRuR'R'R
HM75,779678751,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
HM75,779678751,2,L3 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer R1
HM75,779678751,2,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar G11
HM75,779678751,7,L1 Jawas: Nebit G8 Jawa Engineer G11 Jawa Scavenger G10 Dathcha Jawa
Espo One,794385323,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Espo One,794385323,6,L3 Maul: Maul The Mandalorian (Beskar Armor) R1 Bo-Katan Canderous R1 Armorer R1
Espo One,794385323,2,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar
Espo One,794385323,8,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
Espo One,794385323,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
MightyAnchor,281619283,3,L6 Jabba: Jabba Boushh (Leia Organa) R7 Krrsantan R7 Skiff Guard (Lando Calrissian) R7 Boba
MightyAnchor,281619283,3,L1 Maul: Maul G9 The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer
MightyAnchor,281619283,6,L2 Old Republic: JKR BS G12 Jolee Mission G12 Zaalbar G12
MightyAnchor,281619283,8,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
j who,597367851,2,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous G12 Armorer
j who,597367851,2,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar
j who,597367851,2,L2 BH: Boba Jango Cad The Mandalorian Greedo G12
j who,597367851,4,L2 Jawas: Nebit Jawa Engineer Jawa Scavenger G12 Dathcha G12 Jawa
j who,597367851,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider 6* Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
RenegadeSith,447995451,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
RenegadeSith,447995451,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
RenegadeSith,447995451,1,L0 Jawas: Nebit G7 Jawa Engineer Jawa Scavenger Dathcha Jawa
Oozy,768273468,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Oozy,768273468,5,L4 Maul: Maul R3 The Mandalorian (Beskar Armor) R4 Bo-Katan Canderous Armorer R3
Oozy,768273468,1,L4 Old Republic: JKR BS Jolee Mission R4 Zaalbar
Oozy,768273468,10,L4 Jawas: Nebit R3 Jawa Engineer R3 Jawa Scavenger R3 Dathcha R3 Jawa R3
Oozy,768273468,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
ShadowNiel,611321767,1,L1 Old Republic: JKR BS Jolee G11 Mission Zaalbar
ShadowNiel,611321767,3,L0 BH: Boba Jango Cad The Mandalorian Greedo G5
ShadowNiel,611321767,9,L0 Jawas: Nebit G7 Jawa Engineer G5 Jawa Scavenger G7 Dathcha G6 Jawa G6
IG 88,959674685,2,L1 Old Republic: JKR BS Jolee Mission G10 Zaalbar
IG 88,959674685,3,L1 BH: Boba Jango Cad The Mandalorian Greedo G9
Galatea Phebos,932767188,4,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan Skiff Guard (Lando Calrissian) R5 Boba
Galatea Phebos,932767188,2,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous G12 Armorer
Galatea Phebos,932767188,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
Galatea Phebos,932767188,8,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
Galatea Phebos,932767188,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior URoRRuR'R'R
Masta K,211691162,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Masta K,211691162,4,L1 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan G8 Canderous Armorer
Masta K,211691162,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
Masta K,211691162,3,L1 Tuskens: Tusken Chieftain Tusken Raider Tusken Shaman Tusken Warrior G9 URoRRuR'R'R
Masta K,211691162,8,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa
CGTorro,544221131,1,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar
CGTorro,544221131,2,L2 BH: Boba Jango Cad The Mandalorian Greedo G12
CGTorro,544221131,4,L1 Jawas: Nebit G11 Jawa Engineer Jawa Scavenger G11 Dathcha G11 Jawa G11
CGTorro,544221131,11,L1 Tuskens: Tusken Chieftain G9 Tusken Raider G9 Tusken Shaman G11 Tusken Warrior G8 6* URoRRuR'R'R
Sol Riel,667729758,4,L5 Jabba: Jabba Boushh (Leia Organa) Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Sol Riel,667729758,4,L1 Maul: Maul Sabine Bo-Katan Canderous Armorer G8
Sol Riel,667729758,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Sol Riel,667729758,1,L0 Jawas: Nebit Jawa Engineer Jawa Scavenger Dathcha G7 Jawa
Sol Riel,667729758,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
PeePeeLaFritz,326683311,3,L5 Jabba: Jabba Boushh (Leia Organa) Krrsantan R6 Skiff Guard (Lando Calrissian) R5 Boba
PeePeeLaFritz,326683311,2,L1 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous Armorer G10
PeePeeLaFritz,326683311,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
PeePeeLaFritz,326683311,4,L2 Jawas: Nebit Jawa Engineer Jawa Scavenger G12 Dathcha G12 Jawa
PeePeeLaFritz,326683311,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
Riika Redfox,867487842,4,L6 Jabba: Jabba R7 Boushh (Leia Organa) R7 Krrsantan R7 Skiff Guard (Lando Calrissian) R7 Boba
Riika Redfox,867487842,6,L5 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan R5 Canderous R5 Armorer R5
Riika Redfox,867487842,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Riika Redfox,867487842,6,L2 Jawas: Nebit G12 Jawa Engineer Jawa Scavenger G12 Dathcha G12 Jawa
Riika Redfox,867487842,8,L1 Tuskens: Tusken Chieftain G8 Tusken Raider Tusken Shaman Tusken Warrior G8 URoRRuR'R'R
