Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
AhsokaStan,464923238,0,0,0,JMK: JMK CAT GK GAS Ahsoka
AhsokaStan,464923238,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
AhsokaStan,464923238,8,6,2,CLS: CLS C-3PO R3 Han Chewbacca Chewpio
Markus Steel,795454584,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Markus Steel,795454584,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Markus Steel,795454584,1,0,1,JMLS: JMLS JKL JKR R4 GMY HYoda
Markus Steel,795454584,6,0,6,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 Malak
Markus Steel,795454584,45,0,45,Padme/BB: Padme G12 Hunter G7 Echo G9 Tech G9 Wrecker G8
generalAthena,469998123,40,3,37,CLS: CLS G5 C-3PO R3 Han G13 Chewbacca R1 Chewpio G5 5*
Fordy,167294499,2,2,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Fordy,167294499,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Fordy,167294499,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Fordy,167294499,12,5,7,JMK: JMK CAT R4 GK GAS Ahsoka G12
Fordy,167294499,20,1,19,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper G9 Starck R3
Fordy,167294499,36,2,34,Padme/BB: Padme R3 Hunter G12 Echo G10 Tech G10 Wrecker G8
WhatAboutBob,697967688,9,0,9,EP: EP Mara Jade, The Emperor's Hand R2 Vader Thrawn G12 Malak
WhatAboutBob,697967688,11,0,11,CLS: CLS C-3PO R4 Han R3 Chewbacca Chewpio G10 6*
WhatAboutBob,697967688,48,7,41,Troopers: Veers G10 Piett G11 6* Dark Trooper G9 6* Range Trooper G7 5* Gideon G12
Elik Farc,168623691,6,6,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Elik Farc,168623691,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Elik Farc,168623691,6,5,1,JMLS: JMLS JKL JKR GMY R4 HYoda
Elik Farc,168623691,17,1,16,Troopers: Veers R3 Piett Dark Trooper G9 Range Trooper R2 Starck R3
Dori Solman,811119319,30,5,25,EP: EP G12 Mara Jade, The Emperor's Hand G12 Vader Thrawn G12 RG G11
The Lone LothWolf,869485771,20,1,19,EP: EP Mara Jade, The Emperor's Hand G11 Vader Thrawn G12 Malak G12
The Lone LothWolf,869485771,39,5,34,Troopers: Veers G11 Piett Dark Trooper G8 Range Trooper G8 Starck G11
The Lone LothWolf,869485771,40,22,18,CLS: CLS R3 C-3PO R3 Han R4 Chewbacca G12 Chewpio G11
The Lone LothWolf,869485771,49,8,41,Padme/BB: Padme R3 Hunter G9 Echo G8 Tech G8 Wrecker G8
ThaPhoenix,592319272,20,20,0,CLS: CLS C-3PO Han Chewbacca Chewpio
ThaPhoenix,592319272,21,0,21,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G7 Shoretrooper G8 6*
JohnFarson,977719483,0,0,0,JMK: JMK CAT GK GAS Ahsoka
JohnFarson,977719483,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
JohnFarson,977719483,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
JohnFarson,977719483,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
JohnFarson,977719483,1,0,1,JMLS: JMLS JKL JKR R4 GMY HYoda
JohnFarson,977719483,8,0,8,Troopers: Veers R3 Piett Dark Trooper R3 Range Trooper R3 Gideon R3
BaptizedInFilth,796155522,41,34,7,Padme/BB: Padme Hunter Echo G11 6* Tech Wrecker
BaptizedInFilth,796155522,11,0,11,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G7 Malak
BaptizedInFilth,796155522,10,3,7,CLS: CLS R4 C-3PO R2 Han Chewbacca R4 Chewpio R3
Ashtray,214716763,2,0,2,CLS: CLS R3 C-3PO Han Chewbacca Chewpio
Ashtray,214716763,5,3,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak R3
Ashtray,214716763,8,0,8,JMLS: JMLS JKL JKR R3 GMY G12 HYoda
Ashtray,214716763,19,0,19,Troopers: Veers R3 Piett Dark Trooper G9 6* Range Trooper G12 Starck R3
Ashtray,214716763,48,7,41,Padme/BB: Padme G12 Hunter G10 Echo G9 6* Tech G9 Wrecker G9
jinnergy,594398812,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
jinnergy,594398812,17,13,4,EP: EP Mara Jade, The Emperor's Hand R1 Vader Thrawn Malak
jinnergy,594398812,18,0,18,CLS: CLS R3 C-3PO G12 Han Chewbacca Chewpio G8
Mr Hazer,157877586,8,1,7,EP: EP Mara Jade, The Emperor's Hand R3 Vader Thrawn R3 RG R2
Fabz,486117945,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Fabz,486117945,10,10,0,JMLS: JMLS JKL JKR GMY HYoda
Fabz,486117945,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Fabz,486117945,10,8,2,CLS: CLS R3 C-3PO Han Chewbacca Chewpio
Fabz,486117945,40,16,24,Padme/BB: Padme Hunter G12 Echo G10 Tech G12 Wrecker R1
Jakuu Bombassa,161593765,8,8,0,JMK: JMK CAT GK GAS Ahsoka
Jakuu Bombassa,161593765,1,1,0,JMLS: JMLS JKL JKR GMY HYoda
Jakuu Bombassa,161593765,9,9,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Jakuu Bombassa,161593765,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Jakuu Bombassa,161593765,25,1,24,Troopers: Veers R3 Piett Dark Trooper G9 Range Trooper G7 Starck R3
Yog Dingham,839793419,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Yog Dingham,839793419,1,0,1,JMLS: JMLS JKL JKR R4 GMY HYoda
Yog Dingham,839793419,16,13,3,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak R2
Yog Dingham,839793419,25,13,12,JMK: JMK CAT G12 GK GAS G12 Ahsoka
Yog Dingham,839793419,26,7,19,Troopers: Veers R3 Piett Dark Trooper G9 Range Trooper G12 Starck R3
Yog Dingham,839793419,37,0,37,Padme/BB: Padme R4 Hunter G10 Echo G9 Tech G9 Wrecker G8
Leviathan482,656451624,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Leviathan482,656451624,9,9,0,JMLS: JMLS JKL JKR GMY HYoda
Leviathan482,656451624,24,24,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Leviathan482,656451624,20,0,20,EP: EP Mara Jade, The Emperor's Hand Vader R3 Thrawn G10 Shoretrooper G8 6*
Shermantime,753128741,22,6,16,EP: EP Mara Jade, The Emperor's Hand G8 4* Vader Thrawn G12 Malak
Shermantime,753128741,25,5,20,CLS: CLS R1 C-3PO Han Chewbacca G12 Chewpio G8 4*
Shermantime,753128741,43,1,42,Padme/BB: Padme Hunter G7 5* Echo G8 4* Tech G8 4* Wrecker G7 5*
Dino,575659774,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Dino,575659774,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Dino,575659774,4,0,4,EP: EP Mara Jade, The Emperor's Hand R1 Vader Thrawn Malak
Blibo26,459335924,23,23,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Blibo26,459335924,6,4,2,EP: EP Mara Jade, The Emperor's Hand R3 Vader Thrawn Malak
Guitarman007,612313928,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Guitarman007,612313928,1,1,0,SEE: SEE Malak Darth Malgus BSF DR
Guitarman007,612313928,4,4,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Guitarman007,612313928,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Guitarman007,612313928,12,9,3,JMLS: JMLS JKL JKR R2 GMY HYoda
Guitarman007,612313928,4,0,4,EP: EP Mara Jade, The Emperor's Hand R1 Vader Thrawn RG
Guitarman007,612313928,26,0,26,Troopers: Veers R3 Piett Dark Trooper G7 Range Trooper G7 6* Starck R3
JHall,774949483,2,2,0,CLS: CLS C-3PO Han Chewbacca Chewpio
JHall,774949483,10,10,0,JMK: JMK CAT GK GAS Ahsoka
JHall,774949483,3,0,3,JMLS: JMLS JKL JKR R2 GMY HYoda
Mogar,867575854,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Mogar,867575854,2,0,2,CLS: CLS R3 C-3PO Han Chewbacca Chewpio
Mogar,867575854,4,0,4,JMK: JMK CAT R3 GK GAS Ahsoka R3
Mogar,867575854,12,0,12,SEE: SEE Malak Darth Malgus G8 BSF R3 DR
Mogar,867575854,12,0,12,Troopers: Veers R3 Piett Dark Trooper R3 Range Trooper G12 Starck R3
Mogar,867575854,35,0,35,Padme/BB: Padme R4 Hunter G10 Echo G10 Tech G10 Wrecker G8
Tugboat Al,781217713,9,9,0,JMLS: JMLS JKL JKR GMY HYoda
Tugboat Al,781217713,6,6,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Tugboat Al,781217713,30,7,23,EP: EP Mara Jade, The Emperor's Hand G5 4* Vader Thrawn G8 Malak
W1nning 101,385456932,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
W1nning 101,385456932,28,28,0,CLS: CLS C-3PO Han Chewbacca Chewpio
