Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Bard1313,184799421,40,0,40,94494,Shaak Ti Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G8
Sirskywalker,335998436,80,2,78,14218,Shaak Ti G1 2* Fives G5 Rex G5 Echo (501st) G1 5* ARC Trooper G0 0*
Romano,325633384,67,37,30,87712,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
goldboy,546899719,62,2,60,21379,Shaak Ti G6 3* Fives G6 5* Rex G6 Echo (501st) G6 5* ARC Trooper G6 4*
MNSTPPT,511577167,83,0,83,5804,Shaak Ti G0 0* Fives G1 5* Rex G0 0* Echo (501st) G0 0* ARC Trooper G6 4*
Sal,785353312,72,38,34,88411,Shaak Ti R2 Fives G9 Rex G10 Echo (501st) G11 ARC Trooper G11
Yoda76,447145154,7,3,4,133432,Shaak Ti Fives R4 Rex R4 Echo (501st) R4 ARC Trooper R4
Gulik Stark,788916555,84,0,84,3414,Shaak Ti G0 0* Fives G6 4* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Rei do Vinho,877425459,80,1,79,21614,Shaak Ti G0 0* Fives G3 Rex G4 Echo (501st) G3 ARC Trooper G1
Zé,622862641,87,0,87,2873,Shaak Ti G0 0* Fives G1 3* Rex G1 5* Echo (501st) G1 3* ARC Trooper G0 0*
Remus-Qui Spiuar,148289587,71,15,56,26015,Shaak Ti G8 3* Fives G9 Rex G7 4* Echo (501st) G7 4* ARC Trooper G3 4*
atuamae aossaltos,856814595,68,18,50,50895,Shaak Ti G7 5* Fives G10 Rex G8 Echo (501st) G8 ARC Trooper G7
PAM001,988613127,50,9,41,79341,Shaak Ti G8 4* Fives Rex G12 Echo (501st) G11 ARC Trooper G0 0*
Bobenjo,134342997,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Noxid,941899616,66,25,41,62291,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G1 6*
