Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Remus-Qui Spiuar,148289587,47,7,40,Phasma: Phasma G11 FOTP G7 4* FOSFTP G7 4* FOST G9 3* Kylo G6 4*
Remus-Qui Spiuar,148289587,42,2,40,CLS: CLS G7 Han G6 5* Chewbacca G11 5* Chewpio G4 2* R2-D2 G12
MNSTPPT,511577167,50,15,35,Phasma: Phasma G11 FOTP G7 3* FOSFTP G7 2* FOST G8 6* Kylo G12
MNSTPPT,511577167,40,10,30,padme: Padme G8 GK G12 JKA G11 6* Ahsoka G12 C-3PO G7 5*
MNSTPPT,511577167,44,22,22,Geonosians Omicron: GBA G12 Sun Fac G11 Geo Soldier G12 Geo Spy G12 Poggle G11
MNSTPPT,511577167,45,0,45,Grievous Omicron: GG G7 5* B2 G6 5* B1 G7 5* MagnaGuard G7 4* Droideka G8 4*
MNSTPPT,511577167,46,10,36,Troopers: Veers G10 5* Piett G8 5* Gideon G8 5* Dark Trooper G11 Range Trooper G7 4*
MNSTPPT,511577167,44,0,44,CLS: CLS G8 Han G7 5* Chewbacca G7 5* Chewpio G6 2* R2-D2 G8
goldboy,546899719,50,50,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
goldboy,546899719,34,2,32,padme: Padme G9 GK G10 JKA G10 6* Ahsoka G10 C-3PO G9 5*
goldboy,546899719,32,0,32,Geonosians Omicron: GBA G10 Sun Fac G10 Geo Soldier G9 Geo Spy G10 Poggle G9
goldboy,546899719,50,1,49,Troopers: Veers G7 Piett G5 3* Gideon G8 Dark Trooper G7 5* Range Trooper G4 3*
goldboy,546899719,32,7,25,CLS: CLS G12 Han G12 Chewbacca G12 Chewpio G10 R2-D2 G9
Hunabo Taduro,143746281,50,0,50,Phasma: Phasma G7 FOTP G5 4* Sith Trooper G4 3* KRU G7 4* Kylo G7 4*
Zé,622862641,50,0,50,Phasma: Phasma G10 FOTP G8 FOSFTP G1 2* FOST G2 2* Kylo G9
BENFIWARS,519978156,30,14,16,Geonosians Omicron: GBA Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
